evidence,major_advantage,both_full,both_eco,semi_situation
"('first_half',)",0.14894432259598867,0.5976402505086805,0.0022064846867320244,0.2512089422085987
"('second_half',)",0.1417415131679099,0.4300959050083727,0.09406302329121632,0.3340995585325012
"('overtime',)",0.0006212723658051691,0.9750248508946324,0.0006212723658051691,0.02373260437375746
