evidence,T_streak,T_slight,neutral,CT_slight,CT_streak
"('T_performing', 'close')",0.6165118283689303,0.30619672445168095,0.0001915525332822527,0.07432238291351405,0.0027775117325926644
"('T_performing', 'moderate')",0.8682343870470317,0.07579028527370858,0.00015420200462606015,0.0515034695451041,0.004317656129529684
"('T_performing', 'blowout')",0.7716665747227893,0.10387819275114472,0.00011033265294864016,0.10487118662768248,0.01947371324543499
"('even', 'close')",0.07765185739732039,0.4317319358752613,5.163022433332472e-05,0.45566254485375735,0.034902031649327515
"('even', 'moderate')",0.12345648944202244,0.42068730363623075,4.871039236221047e-05,0.41038505565162325,0.04542244087776127
"('even', 'blowout')",0.1627597988042137,0.3679652652557654,4.7451836386068134e-05,0.36967353136566383,0.09955395273797096
"('CT_performing', 'close')",0.004374158815612383,0.13398384925975773,0.00013458950201884252,0.32052489905787346,0.5409825033647375
"('CT_performing', 'moderate')",0.00422929645082014,0.09681659713093674,0.00011430530948162541,0.10761844887695034,0.7912213522318111
"('CT_performing', 'blowout')",0.037919214050959466,0.11584266883415202,7.067887055164858e-05,0.11647877866911686,0.7296886595752199
