fold,accuracy,auc,logloss,brier,n_train,n_test
1,0.6629845350471982,0.7068029763667488,0.6292871939902777,0.2176020572293455,19915,4979
2,0.6776461136774453,0.7314218469874988,0.6092944361120071,0.2091444795466955,19915,4979
3,0.664591283390239,0.7164964051417366,0.6219305273577053,0.2150227179296404,19915,4979
4,0.6617794737899176,0.7201530672341179,0.6194319928476834,0.2132712436308942,19915,4979
5,0.6695460024106067,0.7187124973922664,0.6167349981458919,0.212778707434312,19916,4978
