feature,chi2,p_value,cramers_v,significant
momentum,3469.7900147118685,0.0,0.34321960163811893,YES
equip_advantage,3062.9051565794466,0.0,0.3224684729196659,YES
recent_performance,1603.4687016635387,0.0,0.23331933508763367,YES
map_side_bias,86.87220490339801,1.367541107495351e-19,0.054307637281499344,YES
buy_phase,65.29191098523702,4.344267161150985e-14,0.0470814875910012,YES
score_pressure,27.22339822290529,1.2260669524591573e-06,0.03137901506082142,YES
round_phase,6.2266744246172125,0.04445236056719835,0.01453946966210405,NO
is_pistol,3.4460271910377296,0.06340399856848515,0.010816327697806187,NO
