fold,auc,accuracy,logloss,brier
1,0.7836620021443619,0.684931506849315,0.5377931094008692,0.1848252354438929
2,0.7829484355905474,0.6808031525614562,0.5409144366106978,0.18559631667995488
3,0.7779200665843948,0.6819290673672359,0.5437930026328277,0.18698605286414405
4,0.7682019044948997,0.672484984984985,0.5534150718366548,0.19094835855500567
5,0.7840450122340366,0.6912537537537538,0.543129396430223,0.18637540898959226
