evidence,CT_win,T_win
"('T_moderate', 'balanced', 'CT_streak', 'even')",0.839396628216504,0.160603371783496
"('T_moderate', 'balanced', 'CT_streak', 'CT_performing')",0.8299120234604105,0.17008797653958943
"('T_moderate', 'CT_favored', 'T_streak', 'T_performing')",0.36270441786673174,0.6372955821332682
"('T_moderate', 'CT_favored', 'T_streak', 'even')",0.38474672737620946,0.6152532726237906
"('T_moderate', 'CT_favored', 'T_streak', 'CT_performing')",0.5,0.5
"('T_moderate', 'CT_favored', 'T_slight', 'T_performing')",0.2013274336283186,0.7986725663716814
"('T_moderate', 'CT_favored', 'T_slight', 'even')",0.4762005500317326,0.5237994499682674
"('T_moderate', 'CT_favored', 'T_slight', 'CT_performing')",0.1451104100946372,0.8548895899053628
"('T_moderate', 'CT_favored', 'neutral', 'T_performing')",0.5,0.5
"('T_moderate', 'CT_favored', 'neutral', 'even')",0.5,0.5
"('T_moderate', 'CT_favored', 'neutral', 'CT_performing')",0.5,0.5
"('T_moderate', 'CT_favored', 'CT_slight', 'T_performing')",0.45472837022132795,0.545271629778672
"('T_moderate', 'CT_favored', 'CT_slight', 'even')",0.5161059413027917,0.4838940586972083
"('T_moderate', 'CT_favored', 'CT_slight', 'CT_performing')",0.8729281767955801,0.12707182320441987
"('T_moderate', 'CT_favored', 'CT_streak', 'T_performing')",0.010869565217391306,0.9891304347826088
"('T_moderate', 'CT_favored', 'CT_streak', 'even')",0.8869778869778869,0.11302211302211301
"('T_moderate', 'CT_favored', 'CT_streak', 'CT_performing')",0.9591836734693877,0.04081632653061224
"('even', 'T_favored', 'T_streak', 'T_performing')",0.3617674858223062,0.6382325141776938
"('even', 'T_favored', 'T_streak', 'even')",0.3462852263023057,0.6537147736976943
"('even', 'T_favored', 'T_streak', 'CT_performing')",0.5,0.5
"('even', 'T_favored', 'T_slight', 'T_performing')",0.5623268698060941,0.4376731301939058
"('even', 'T_favored', 'T_slight', 'even')",0.40004038772213246,0.5999596122778675
"('even', 'T_favored', 'T_slight', 'CT_performing')",0.005494505494505495,0.9945054945054945
"('even', 'T_favored', 'neutral', 'T_performing')",0.5,0.5
"('even', 'T_favored', 'neutral', 'even')",0.5,0.5
"('even', 'T_favored', 'neutral', 'CT_performing')",0.5,0.5
"('even', 'T_favored', 'CT_slight', 'T_performing')",0.25138121546961323,0.7486187845303868
"('even', 'T_favored', 'CT_slight', 'even')",0.520535442652875,0.47946455734712506
"('even', 'T_favored', 'CT_slight', 'CT_performing')",0.25274725274725274,0.7472527472527473
"('even', 'T_favored', 'CT_streak', 'T_performing')",0.5,0.5
"('even', 'T_favored', 'CT_streak', 'even')",0.8548895899053628,0.1451104100946372
"('even', 'T_favored', 'CT_streak', 'CT_performing')",0.41199478487614083,0.5880052151238592
"('even', 'balanced', 'T_streak', 'T_performing')",0.4074137576297922,0.5925862423702078
"('even', 'balanced', 'T_streak', 'even')",0.4122920997920998,0.5877079002079002
"('even', 'balanced', 'T_streak', 'CT_performing')",0.5262543757292882,0.47374562427071176
"('even', 'balanced', 'T_slight', 'T_performing')",0.3049837486457205,0.6950162513542795
"('even', 'balanced', 'T_slight', 'even')",0.43045025078735566,0.5695497492126443
"('even', 'balanced', 'T_slight', 'CT_performing')",0.2326962809917355,0.7673037190082644
"('even', 'balanced', 'neutral', 'T_performing')",0.5,0.5
"('even', 'balanced', 'neutral', 'even')",0.5,0.5
"('even', 'balanced', 'neutral', 'CT_performing')",0.5,0.5
"('even', 'balanced', 'CT_slight', 'T_performing')",0.7367036820572764,0.2632963179427235
"('even', 'balanced', 'CT_slight', 'even')",0.519925931889542,0.4800740681104581
"('even', 'balanced', 'CT_slight', 'CT_performing')",0.6090468497576736,0.39095315024232635
"('even', 'balanced', 'CT_streak', 'T_performing')",0.5,0.5
"('even', 'balanced', 'CT_streak', 'even')",0.5479160328567082,0.45208396714329174
"('even', 'balanced', 'CT_streak', 'CT_performing')",0.6726993617193181,0.32730063828068195
"('even', 'CT_favored', 'T_streak', 'T_performing')",0.4450122195067763,0.5549877804932237
"('even', 'CT_favored', 'T_streak', 'even')",0.5131502045587376,0.48684979544126245
"('even', 'CT_favored', 'T_streak', 'CT_performing')",0.12707182320441987,0.8729281767955801
"('even', 'CT_favored', 'T_slight', 'T_performing')",0.4445812807881773,0.5554187192118226
"('even', 'CT_favored', 'T_slight', 'even')",0.4609442805068565,0.5390557194931436
"('even', 'CT_favored', 'T_slight', 'CT_performing')",0.2705458908218356,0.7294541091781643
"('even', 'CT_favored', 'neutral', 'T_performing')",0.5,0.5
"('even', 'CT_favored', 'neutral', 'even')",0.5,0.5
"('even', 'CT_favored', 'neutral', 'CT_performing')",0.5,0.5
"('even', 'CT_favored', 'CT_slight', 'T_performing')",0.7362893815635939,0.2637106184364061
"('even', 'CT_favored', 'CT_slight', 'even')",0.588497927075582,0.411502072924418
"('even', 'CT_favored', 'CT_slight', 'CT_performing')",0.7024595080983803,0.2975404919016197
"('even', 'CT_favored', 'CT_streak', 'T_performing')",0.9945054945054945,0.005494505494505495
"('even', 'CT_favored', 'CT_streak', 'even')",0.5404919016196761,0.4595080983803239
"('even', 'CT_favored', 'CT_streak', 'CT_performing')",0.6836909056388836,0.31630909436111637
"('CT_moderate', 'T_favored', 'T_streak', 'T_performing')",0.48573240329740014,0.5142675967025999
"('CT_moderate', 'T_favored', 'T_streak', 'even')",0.5712777191129884,0.42872228088701164
"('CT_moderate', 'T_favored', 'T_streak', 'CT_performing')",0.5,0.5
"('CT_moderate', 'T_favored', 'T_slight', 'T_performing')",0.23168654173764905,0.768313458262351
"('CT_moderate', 'T_favored', 'T_slight', 'even')",0.39140926640926643,0.6085907335907336
"('CT_moderate', 'T_favored', 'T_slight', 'CT_performing')",0.3357664233576642,0.6642335766423357
"('CT_moderate', 'T_favored', 'neutral', 'T_performing')",0.5,0.5
"('CT_moderate', 'T_favored', 'neutral', 'even')",0.5,0.5
"('CT_moderate', 'T_favored', 'neutral', 'CT_performing')",0.5,0.5
"('CT_moderate', 'T_favored', 'CT_slight', 'T_performing')",0.5,0.5
"('CT_moderate', 'T_favored', 'CT_slight', 'even')",0.42671009771986973,0.5732899022801303
"('CT_moderate', 'T_favored', 'CT_slight', 'CT_performing')",0.5,0.5
"('CT_moderate', 'T_favored', 'CT_streak', 'T_performing')",0.5,0.5
"('CT_moderate', 'T_favored', 'CT_streak', 'even')",0.5709779179810726,0.42902208201892744
"('CT_moderate', 'T_favored', 'CT_streak', 'CT_performing')",0.5237592397043295,0.47624076029567053
"('CT_moderate', 'balanced', 'T_streak', 'T_performing')",0.37869629145564454,0.6213037085443555
"('CT_moderate', 'balanced', 'T_streak', 'even')",0.4204225990749978,0.5795774009250023
"('CT_moderate', 'balanced', 'T_streak', 'CT_performing')",0.37534626038781166,0.6246537396121884
"('CT_moderate', 'balanced', 'T_slight', 'T_performing')",0.4871940808195788,0.5128059191804212
"('CT_moderate', 'balanced', 'T_slight', 'even')",0.4535938047242869,0.5464061952757131
"('CT_moderate', 'balanced', 'T_slight', 'CT_performing')",0.2831098072087175,0.7168901927912825
"('CT_moderate', 'balanced', 'neutral', 'T_performing')",0.5,0.5
"('CT_moderate', 'balanced', 'neutral', 'even')",0.5,0.5
"('CT_moderate', 'balanced', 'neutral', 'CT_performing')",0.5,0.5
"('CT_moderate', 'balanced', 'CT_slight', 'T_performing')",0.7705827937095282,0.22941720629047174
"('CT_moderate', 'balanced', 'CT_slight', 'even')",0.5634549229863328,0.43654507701366724
"('CT_moderate', 'balanced', 'CT_slight', 'CT_performing')",0.622759158222915,0.37724084177708495
"('CT_moderate', 'balanced', 'CT_streak', 'T_performing')",0.25274725274725274,0.7472527472527473
"('CT_moderate', 'balanced', 'CT_streak', 'even')",0.6371951219512195,0.3628048780487805
"('CT_moderate', 'balanced', 'CT_streak', 'CT_performing')",0.6763095749248604,0.3236904250751395
"('CT_moderate', 'CT_favored', 'T_streak', 'T_performing')",0.40313414844153606,0.596865851558464
"('CT_moderate', 'CT_favored', 'T_streak', 'even')",0.4821570182394925,0.5178429817605076
"('CT_moderate', 'CT_favored', 'T_streak', 'CT_performing')",0.08487084870848707,0.915129151291513
"('CT_moderate', 'CT_favored', 'T_slight', 'T_performing')",0.20088626292466766,0.7991137370753324
"('CT_moderate', 'CT_favored', 'T_slight', 'even')",0.48077333903012176,0.5192266609698782
"('CT_moderate', 'CT_favored', 'T_slight', 'CT_performing')",0.4375578168362627,0.5624421831637373
"('CT_moderate', 'CT_favored', 'neutral', 'T_performing')",0.5,0.5
"('CT_moderate', 'CT_favored', 'neutral', 'even')",0.5,0.5
"('CT_moderate', 'CT_favored', 'neutral', 'CT_performing')",0.5,0.5
"('CT_moderate', 'CT_favored', 'CT_slight', 'T_performing')",0.9979879275653923,0.002012072434607646
"('CT_moderate', 'CT_favored', 'CT_slight', 'even')",0.5866495507060334,0.4133504492939667
"('CT_moderate', 'CT_favored', 'CT_slight', 'CT_performing')",0.5509741730856366,0.4490258269143634
"('CT_moderate', 'CT_favored', 'CT_streak', 'T_performing')",0.9787234042553192,0.021276595744680854
"('CT_moderate', 'CT_favored', 'CT_streak', 'even')",0.5365457498646453,0.46345425013535463
"('CT_moderate', 'CT_favored', 'CT_streak', 'CT_performing')",0.6801623999097779,0.3198376000902222
"('CT_strong', 'T_favored', 'T_streak', 'T_performing')",0.2673559822747415,0.7326440177252584
"('CT_strong', 'T_favored', 'T_streak', 'even')",0.33415233415233414,0.6658476658476659
"('CT_strong', 'T_favored', 'T_streak', 'CT_performing')",0.021276595744680854,0.9787234042553192
"('CT_strong', 'T_favored', 'T_slight', 'T_performing')",0.007299270072992701,0.9927007299270073
"('CT_strong', 'T_favored', 'T_slight', 'even')",0.5587467362924282,0.4412532637075718
"('CT_strong', 'T_favored', 'T_slight', 'CT_performing')",0.45472837022132795,0.545271629778672
"('CT_strong', 'T_favored', 'neutral', 'T_performing')",0.5,0.5
"('CT_strong', 'T_favored', 'neutral', 'even')",0.5,0.5
"('CT_strong', 'T_favored', 'neutral', 'CT_performing')",0.5,0.5
"('CT_strong', 'T_favored', 'CT_slight', 'T_performing')",0.5,0.5
"('CT_strong', 'T_favored', 'CT_slight', 'even')",0.6624167994750164,0.33758320052498364
"('CT_strong', 'T_favored', 'CT_slight', 'CT_performing')",0.6127415891195419,0.38725841088045815
"('CT_strong', 'T_favored', 'CT_streak', 'T_performing')",0.5,0.5
"('CT_strong', 'T_favored', 'CT_streak', 'even')",0.5756556825823806,0.42434431741761935
"('CT_strong', 'T_favored', 'CT_streak', 'CT_performing')",0.6226072376694145,0.37739276233058544
"('CT_strong', 'balanced', 'T_streak', 'T_performing')",0.24731445312500006,0.752685546875
"('CT_strong', 'balanced', 'T_streak', 'even')",0.31255785251465595,0.687442147485344
"('CT_strong', 'balanced', 'T_streak', 'CT_performing')",0.7093772369362921,0.29062276306370793
"('CT_strong', 'balanced', 'T_slight', 'T_performing')",0.28583790020190364,0.7141620997980963
"('CT_strong', 'balanced', 'T_slight', 'even')",0.48608649049758834,0.5139135095024117
"('CT_strong', 'balanced', 'T_slight', 'CT_performing')",0.44215938303341906,0.5578406169665809
"('CT_strong', 'balanced', 'neutral', 'T_performing')",0.5,0.5
"('CT_strong', 'balanced', 'neutral', 'even')",0.5,0.5
"('CT_strong', 'balanced', 'neutral', 'CT_performing')",0.5,0.5
"('CT_strong', 'balanced', 'CT_slight', 'T_performing')",0.8820200261210274,0.11797997387897255
"('CT_strong', 'balanced', 'CT_slight', 'even')",0.708172343936008,0.291827656063992
"('CT_strong', 'balanced', 'CT_slight', 'CT_performing')",0.7999700404453987,0.2000299595546013
"('CT_strong', 'balanced', 'CT_streak', 'T_performing')",0.45472837022132795,0.545271629778672
"('CT_strong', 'balanced', 'CT_streak', 'even')",0.6066508665382906,0.3933491334617094
"('CT_strong', 'balanced', 'CT_streak', 'CT_performing')",0.7269137039213232,0.27308629607867696
"('CT_strong', 'CT_favored', 'T_streak', 'T_performing')",0.17668190725016328,0.8233180927498367
"('CT_strong', 'CT_favored', 'T_streak', 'even')",0.4151654796816087,0.5848345203183913
"('CT_strong', 'CT_favored', 'T_streak', 'CT_performing')",0.7326440177252584,0.2673559822747415
"('CT_strong', 'CT_favored', 'T_slight', 'T_performing')",0.3752310536044362,0.6247689463955638
"('CT_strong', 'CT_favored', 'T_slight', 'even')",0.5360742098030233,0.46392579019697666
"('CT_strong', 'CT_favored', 'T_slight', 'CT_performing')",0.43140243902439024,0.5685975609756098
"('CT_strong', 'CT_favored', 'neutral', 'T_performing')",0.5,0.5
"('CT_strong', 'CT_favored', 'neutral', 'even')",0.5,0.5
"('CT_strong', 'CT_favored', 'neutral', 'CT_performing')",0.5,0.5
"('CT_strong', 'CT_favored', 'CT_slight', 'T_performing')",0.9490022172949002,0.050997782705099776
"('CT_strong', 'CT_favored', 'CT_slight', 'even')",0.701725633857129,0.29827436614287095
"('CT_strong', 'CT_favored', 'CT_slight', 'CT_performing')",0.8728366269792562,0.12716337302074385
"('CT_strong', 'CT_favored', 'CT_streak', 'T_performing')",0.9963235294117647,0.0036764705882352945
"('CT_strong', 'CT_favored', 'CT_streak', 'even')",0.6298758089907294,0.37012419100927063
"('CT_strong', 'CT_favored', 'CT_streak', 'CT_performing')",0.738648316970547,0.261351683029453
