evidence,unknown,major_advantage,both_full,both_eco,semi_situation,mixed
"('first_half',)",4.404161051361327e-05,0.1489223017907319,0.5976182297034238,0.002184463881475218,0.2511869214033419,4.404161051361327e-05
"('second_half',)",5.0743390673364805e-05,0.14171614147257322,0.430070533313036,0.09403765159587965,0.3340741868371645,5.0743390673364805e-05
"('overtime',)",0.0004141815772034459,0.0004141815772034459,0.9748177601060303,0.0004141815772034459,0.023525513585155727,0.0004141815772034459
