evidence,T_strong,T_moderate,even,CT_moderate,CT_strong
"('unknown',)",0.2,0.2,0.2,0.2,0.2
"('major_advantage',)",0.6168869024485036,9.716284492809948e-05,9.716284492809948e-05,9.716284492809948e-05,0.382821609016712
"('both_full',)",0.05365925634467834,0.10220342317529017,0.23846645681684045,0.2831005311823726,0.32257033248081834
"('both_eco',)",0.00031515915537346363,0.00031515915537346363,0.995902930980145,0.0031515915537346367,0.00031515915537346363
"('semi_situation',)",0.3761240460798133,0.009381227822874639,0.021484469936324305,0.00486073980459826,0.5881495163563893
"('mixed',)",0.2,0.2,0.2,0.2,0.2
