fold,accuracy,auc,logloss,brier,n_train,n_test
1,0.6714199638481623,0.7199312356471508,0.6209529867199545,0.21308706790710794,19915,4979
2,0.6754368347057642,0.7299781213441314,0.6083756986351602,0.20918656149059103,19915,4979
3,0.6535448885318337,0.703860620243756,0.6341144225920058,0.21941451547752136,19915,4979
4,0.6641895963044788,0.717739232688612,0.6195497019239343,0.21407851285423732,19915,4979
5,0.6727601446364002,0.718627172988418,0.6193019265182679,0.21341154002285048,19916,4978
