scenario,n_rounds,ct_winrate,t_winrate,pct_of_total
Pistol Rounds,2729,0.525100769512642,0.47489923048735805,9.264980478696316
Overtime Rounds,1399,0.5225160829163689,0.47748391708363114,4.749618061449669
CT Full Buy vs T Eco,1629,0.9551872314303254,0.044812768569674644,5.530470208793075
T Full Buy vs CT Eco,1074,0.0446927374301676,0.9553072625698324,3.646240027160075
Both Full Buy,14359,0.5101330176196114,0.4898669823803886,48.74893905958241
Both Eco,2404,0.521630615640599,0.478369384359401,8.161602444406721
CT Semi vs T Eco,314,0.8503184713375797,0.14968152866242035,1.066032931590562
Both Semi Buy,953,0.30849947534102834,0.6915005246589716,3.2354438974707183
