fold,logloss,auc,brier,accuracy
1,0.640835119268578,0.6784372040719696,0.22523308483256352,0.6247406639004149
2,0.6322845433903979,0.6929311135051806,0.2212320097515579,0.6327800829875518
3,0.6357436286736035,0.685273907827364,0.22310819239075974,0.6345954356846473
4,0.625882583046086,0.7023388213985549,0.2184609518935514,0.6415045395590143
5,0.6379334573145595,0.6810537648879617,0.22414494418528716,0.6311284046692607
