round,team1_win_prob,team2_win_prob,team1_score,team2_score,team_round_winner,match_id,team1_label,team2_label
29,0.511865863967458,0.48813413603254197,14,15,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
30,0.5637049566998036,0.4362950433001964,15,15,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
31,0.47511095282599447,0.5248890471740055,15,16,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
32,0.5497375320224904,0.4502624679775096,16,16,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
33,0.5822806105112368,0.4177193894887632,17,16,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
34,0.6114827344775813,0.3885172655224187,18,16,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
35,0.5037759814910231,0.4962240185089769,18,17,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
36,0.5760533214961746,0.4239466785038254,19,17,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
1,0.6530708653558237,0.3469291346441763,1,0,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
2,0.7234115628921893,0.27658843710781067,2,0,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
3,0.7787049566998034,0.22129504330019656,3,0,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
4,0.6024846901997318,0.39751530980026817,3,1,2,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
5,0.6836661034510618,0.3163338965489382,4,1,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
6,0.7346615628921891,0.2653384371078109,5,1,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
7,0.7804642159590629,0.2195357840409371,6,1,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
8,0.6319291346441762,0.3680708653558238,6,2,2,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
9,0.7201920774770358,0.27980792252296416,7,2,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
10,0.7659115628921891,0.2340884371078109,8,2,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
11,0.6425060577210993,0.35749394227890074,8,3,2,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
12,0.5651003418697156,0.4348996581302844,8,4,2,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
13,0.515461709966863,0.484538290033137,8,5,2,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
14,0.6139041986891571,0.38609580131084287,9,5,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
15,0.6566713668137578,0.3433286331862422,10,5,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
16,0.7164827344775813,0.28351726552241874,11,5,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
17,0.7729387647460833,0.22706123525391675,12,5,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
18,0.8261594155955765,0.17384058440442351,13,5,1,ea4b6896fa759055,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
1,0.6530708653558237,0.3469291346441763,1,0,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
2,0.7234115628921893,0.27658843710781067,2,0,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
3,0.7787049566998034,0.22129504330019656,3,0,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
4,0.6024846901997318,0.39751530980026817,3,1,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
5,0.5136717704411442,0.4863282295588558,3,2,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
6,0.6078625320224904,0.3921374679775096,4,2,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
7,0.6591060073366337,0.3408939926633663,5,2,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
8,0.7053716233664702,0.2946283766335298,6,2,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
9,0.7668582224813303,0.2331417775186697,7,2,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
10,0.6352624679775096,0.3647375320224904,7,3,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
11,0.5585435653129391,0.44145643468706086,7,4,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
12,0.4898664718716251,0.510133528128375,7,5,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
13,0.42859632297321515,0.5714036770267849,7,6,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
14,0.3738405844044235,0.6261594155955765,7,7,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
15,0.34335022557329425,0.6566497744267057,7,8,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
16,0.31516853888347746,0.6848314611165225,7,9,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
17,0.2887541971909318,0.7112458028090682,7,10,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
18,0.4459875320224904,0.5540124679775096,8,10,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
19,0.507161562892189,0.49283843710781094,9,10,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
20,0.5637049566998036,0.4362950433001964,10,10,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
21,0.4703349317456256,0.5296650682543744,10,11,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
22,0.43207454821892194,0.5679254517810781,10,12,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
23,0.5105708653558237,0.48942913464417626,11,12,1,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
24,0.43180092951597115,0.5681990704840288,11,13,2,0161d03c9874c1f3,"dumau, latto, lux, n1ssim, saadzin","Ex3rcice, Graviti, Lucky, Maka, bodyy"
