round,team1_win_prob,team2_win_prob,team1_score,team2_score,team_round_winner,match_id,team1_label,team2_label
12,0.728308960593919,0.27169103940608097,9,3,1,38ef49dcbadc29d7,"HeavyGoD, Snax, hades, huNter-, malbsMd","Ex3rcice, Graviti, Lucky, Maka, bodyy"
13,0.7721615628921892,0.22783843710781082,10,3,1,38ef49dcbadc29d7,"HeavyGoD, Snax, hades, huNter-, malbsMd","Ex3rcice, Graviti, Lucky, Maka, bodyy"
14,0.8128716233664701,0.18712837663352988,11,3,1,38ef49dcbadc29d7,"HeavyGoD, Snax, hades, huNter-, malbsMd","Ex3rcice, Graviti, Lucky, Maka, bodyy"
15,0.8500801476150202,0.14991985238497985,12,3,1,38ef49dcbadc29d7,"HeavyGoD, Snax, hades, huNter-, malbsMd","Ex3rcice, Graviti, Lucky, Maka, bodyy"
16,0.9039371933733543,0.09606280662664568,13,3,1,38ef49dcbadc29d7,"HeavyGoD, Snax, hades, huNter-, malbsMd","Ex3rcice, Graviti, Lucky, Maka, bodyy"
1,0.34692913464417624,0.6530708653558237,0,1,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
2,0.2765884371078109,0.7234115628921891,0,2,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
3,0.2212950433001965,0.7787049566998034,0,3,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
4,0.17526298963988174,0.8247370103601183,0,4,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
5,0.13574534630918544,0.8642546536908146,0,5,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
6,0.32307086535582374,0.6769291346441763,1,5,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
7,0.4168837851144114,0.5831162148855886,2,5,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
8,0.32859580131084287,0.6714041986891571,2,6,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
9,0.28155055831993203,0.718449441680068,2,7,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
10,0.4047375320224904,0.5952624679775096,3,7,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
11,0.31801887823391983,0.6819811217660802,3,8,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
12,0.3966422939272523,0.6033577060727477,4,8,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
13,0.46882822955885584,0.5311717704411442,5,8,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
14,0.5342257900331369,0.46577420996686314,6,8,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
15,0.5731193633012948,0.42688063669870524,7,8,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
16,0.4639661716812133,0.5360338283187867,7,9,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
17,0.5278077074610869,0.47219229253891315,8,9,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
18,0.5679948962255226,0.43200510377447743,9,9,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
19,0.6045382900331369,0.39546170996686314,10,9,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
20,0.6380703436934516,0.3619296563065484,11,9,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
21,0.5301900042093937,0.46980999579060634,11,10,2,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
22,0.589668087578046,0.410331912421954,12,10,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
23,0.6279948962255226,0.3720051037744774,13,10,1,6261f4aa942b7201,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
1,0.6530708653558237,0.3469291346441763,1,0,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
2,0.4802624679775096,0.5197375320224904,1,1,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
3,0.3911717704411442,0.6088282295588558,1,2,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
4,0.32407282107797425,0.6759271789220258,1,3,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
5,0.46807086535582365,0.5319291346441763,2,3,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
6,0.5279948962255225,0.47200510377447746,3,3,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
7,0.5984271789220257,0.4015728210779743,4,3,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
8,0.4902624679775096,0.5097375320224904,4,4,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
9,0.5800405623255207,0.4199594376744793,5,4,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
10,0.6270226740033003,0.37297732599669975,6,4,1,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
11,0.5175060577210993,0.48249394227890074,6,5,2,8fb1b8c03d99b851,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, Snax, hades, huNter-, malbsMd"
