match_id,demo_file,map_name,date,total_rounds,team1_name,team2_name,team1_score,team2_score,winner,match_duration_seconds
e1f038d2cef9e819,faze-vs-3dmax-m1-train,de_train,2025-10-25T12:49:51.720415,22,"Twistzz, broky, frozen, karrigan, rain","Ex3rcice, Graviti, Lucky, Maka, bodyy",9,13,"Ex3rcice, Graviti, Lucky, Maka, bodyy",1211.5703
e353185c5904be01,faze-vs-inner-circle-m2-nuke,de_nuke,2025-10-25T12:50:42.863903,22,"Dawy, Flierax, cairne, nifee, onic","Twistzz, broky, frozen, karrigan, rain",9,13,"Twistzz, broky, frozen, karrigan, rain",1396.7734
8a05a49135516948,faze-vs-inner-circle-m1-ancient,de_ancient,2025-10-25T12:51:22.933967,20,"Twistzz, broky, frozen, karrigan, rain","Dawy, Flierax, cairne, nifee, onic",13,7,"Twistzz, broky, frozen, karrigan, rain",1226.375
fd8c133f7f9d219b,faze-vs-vitality-m3-dust2,de_dust2,2025-10-25T12:52:10.361603,21,"Twistzz, broky, frozen, karrigan, rain","ZywOo, apEX, flameZ, mezii, ropz",8,13,"ZywOo, apEX, flameZ, mezii, ropz",1459.2344
1fa7ae8d326d9dc6,faze-vs-vitality-m2-inferno,de_inferno,2025-10-25T12:53:02.585604,22,"ZywOo, apEX, flameZ, mezii, ropz","Twistzz, broky, frozen, karrigan, rain",13,9,"ZywOo, apEX, flameZ, mezii, ropz",1472.0625
fd9e809123e4b6a9,faze-vs-vitality-m1-mirage,de_mirage,2025-10-25T12:54:24.968533,42,"ZywOo, apEX, flameZ, mezii, ropz","Twistzz, broky, frozen, karrigan, rain",20,22,"Twistzz, broky, frozen, karrigan, rain",2621.3281
0a73b0c615b91c73,furia-vs-3dmax-m2-dust2-p2,de_dust2,2025-10-25T12:55:00.711147,11,"Ex3rcice, Graviti, Lucky, Maka, bodyy","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",6,5,"Ex3rcice, Graviti, Lucky, Maka, bodyy",743.41406
4252ebbfd112a1e4,furia-vs-3dmax-m2-dust2-p1,de_dust2,2025-10-25T12:55:21.930358,10,"Ex3rcice, Graviti, Lucky, Maka, bodyy","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",2,8,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",650.8125
6061050a1fefc6df,furia-vs-3dmax-m1-nuke,de_nuke,2025-10-25T12:55:57.044586,19,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih","Ex3rcice, Graviti, Lucky, Maka, bodyy",13,6,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",1218.5234
92220e665819686e,furia-vs-aurora-m3-overpass,de_overpass,2025-10-25T12:56:57.936365,28,"MAJ3R, Wicadia, XANTARES, jottAAA, woxic","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",12,16,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",1949.0938
eb4fa86503c880a0,furia-vs-aurora-m2-mirage,de_mirage,2025-10-25T12:57:46.606236,22,"MAJ3R, Wicadia, XANTARES, jottAAA, woxic","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",13,9,"MAJ3R, Wicadia, XANTARES, jottAAA, woxic",1337.0703
d7f833f1e176f070,furia-vs-aurora-m1-inferno,de_inferno,2025-10-25T12:58:22.217216,16,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih","MAJ3R, Wicadia, XANTARES, jottAAA, woxic",13,3,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",1054.2812
afb36bcd4b0ba4d9,furia-vs-g2-m2-dust2,de_dust2,2025-10-25T12:59:03.674728,21,"HeavyGoD, MATYS, SunPayus, huNter-, malbsMd","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",13,8,"HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",1381.2891
8d65b87808f143e8,furia-vs-g2-m1-train,de_train,2025-10-25T12:59:53.036437,24,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih","HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",11,13,"HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",1602.4141
41500f376ada265c,furia-vs-vitality-m3-nuke,de_nuke,2025-10-25T13:00:32.737629,20,"ZywOo, apEX, flameZ, mezii, ropz","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",13,7,"ZywOo, apEX, flameZ, mezii, ropz",1234.6562
645895a51cbe7bb8,furia-vs-vitality-m2-inferno,de_inferno,2025-10-25T13:01:15.154241,20,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih","ZywOo, apEX, flameZ, mezii, ropz",7,13,"ZywOo, apEX, flameZ, mezii, ropz",1344.3516
269d1b7863c93871,furia-vs-vitality-m1-overpass,de_overpass,2025-10-25T13:02:04.414033,22,"ZywOo, apEX, flameZ, mezii, ropz","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",9,13,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",1568.3125
7032e38ace377672,g2-vs-3dmax-m2-dust2,de_dust2,2025-10-25T13:02:46.375180,19,"Ex3rcice, Graviti, Lucky, Maka, bodyy","HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",13,6,"Ex3rcice, Graviti, Lucky, Maka, bodyy",1302.0156
7598e6defad8f354,g2-vs-3dmax-m1-inferno,de_inferno,2025-10-25T13:03:40.917769,24,"HeavyGoD, MATYS, SunPayus, huNter-, malbsMd","Ex3rcice, Graviti, Lucky, Maka, bodyy",11,13,"Ex3rcice, Graviti, Lucky, Maka, bodyy",1645.8516
e448e53876437859,gentle-mates-vs-aurora-m2-train,de_train,2025-10-25T13:04:27.990171,23,"MartinezSa, alex , dav1g, mopoz, sausoL","MAJ3R, Wicadia, XANTARES, jottAAA, woxic",10,13,"MAJ3R, Wicadia, XANTARES, jottAAA, woxic",1544.2969
e9ae5f12718cb1d1,gentle-mates-vs-aurora-m1-nuke,de_nuke,2025-10-25T13:05:00.205015,16,"MAJ3R, Wicadia, XANTARES, jottAAA, woxic","MartinezSa, alex , dav1g, mopoz, sausoL",13,3,"MAJ3R, Wicadia, XANTARES, jottAAA, woxic",1034.8906
2bccb33af0327202,inner-circle-vs-furia-m2-overpass,de_overpass,2025-10-25T13:05:33.028635,15,"Dawy, Flierax, cairne, nifee, onic","FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",2,13,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",1085.0234
e05c7b2394e4f1ed,inner-circle-vs-furia-m1-mirage,de_mirage,2025-10-25T13:06:00.633334,15,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih","Dawy, Flierax, cairne, nifee, onic",13,2,"FalleN, KSCERATO, YEKINDAR, molodoy, yuurih",882.0547
839700a19dfba2a8,mouz-vs-falcons-m3-nuke,de_nuke,2025-10-25T13:06:37.372446,20,"Brollan, Jimpphat, Spinx, torzsi, xertioN","NiKo, TeSeS, kyousuke, kyxsan, m0NESY",7,13,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY",1235.1797
f2d0cd17ed914763,mouz-vs-falcons-m2-inferno,de_inferno,2025-10-25T13:07:18.703602,16,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY","Brollan, Jimpphat, Spinx, torzsi, xertioN",3,13,"Brollan, Jimpphat, Spinx, torzsi, xertioN",1228.4688
87c9e6a6bc13f06c,mouz-vs-falcons-m1-ancient,de_ancient,2025-10-25T13:07:59.260899,22,"Brollan, Jimpphat, Spinx, torzsi, xertioN","NiKo, TeSeS, kyousuke, kyxsan, m0NESY",9,13,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY",1298.2812
02bc8987c2b77df3,mouz-vs-falcons-m2-ancient,de_ancient,2025-10-25T13:08:40.818755,20,"Brollan, Jimpphat, Spinx, torzsi, xertioN","NiKo, TeSeS, kyousuke, kyxsan, m0NESY",7,13,"NiKo, TeSeS, kyousuke, kyxsan, m0NESY",1331.4219
