fold,auc,accuracy,logloss,brier
1,0.7673532174160946,0.6811784574967161,0.5694706305251386,0.19532541409772067
2,0.7677466931697623,0.685119159316945,0.5694490174330418,0.19516652859589428
3,0.7636065785923389,0.6779883655470069,0.5691443811559058,0.19590087999753494
4,0.7472405341900754,0.6692942942942943,0.5848174456580196,0.20209912090471346
5,0.7616539064349904,0.6766141141141141,0.5718514681306178,0.19677779264193232
