fold,auc,logloss,brier,accuracy
1,0.7822540922922578,0.5541315061841975,0.18916048270455302,0.6988920269389528
2,0.7668282610189638,0.5665830118914522,0.19481830320375615,0.6795568107755812
3,0.7611568035588724,0.5713973830674279,0.19701589985088447,0.6771670649576363
4,0.7714943445029439,0.5646628474816084,0.19333353225450706,0.6897001303780965
5,0.7629745432524442,0.571200050669023,0.19637315639647276,0.6777488048674489
