player_id,player_name,total_matches,primary_role,avg_rank
76561198201620490,broky,22,unknown,0.0
76561198066693739,EliGE,2,unknown,0.0
76561198012872053,huNter-,24,unknown,0.0
76561197997351207,rain,22,unknown,0.0
76561198080703143,malbsMd,24,unknown,0.0
76561198068002993,HeavyGoD,24,unknown,0.0
76561197982141573,Snax,2,unknown,0.0
76561197989430253,karrigan,22,unknown,0.0
76561198074762801,m0NESY,21,unknown,0.0
76561198068422762,frozen,22,unknown,0.0
76561198386265483,donk,18,unknown,0.0
76561198995880877,zont1x,5,unknown,0.0
76561198081484775,SH1R0,18,unknown,0.0
76561198045898864,chopper,18,unknown,0.0
76561198098071693,sl3nd,1,unknown,0.0
76561198034172415,REZ,12,unknown,0.0
76561198316706174,Tauson,12,unknown,0.0
76561199063238565,magixx,5,unknown,0.0
76561198310561479,PR,12,unknown,0.0
76561199009468655,ztr,12,unknown,0.0
76561198283989223,ultimate,13,unknown,0.0
76561198053126645,NertZ,13,unknown,0.0
76561198001151695,NAF-FLY,13,unknown,0.0
76561197977105184,jks,2,unknown,0.0
76561198016255205,Twistzz,31,unknown,0.0
76561198050250233,iM,18,unknown,0.0
76561198176878303,jL,2,unknown,0.0
76561198013243326,Aleksib,18,unknown,0.0
76561199063068840,w0nderful,17,unknown,0.0
76561198246607476,b1t,18,unknown,0.0
76561198134401925,YEKINDAR,21,unknown,0.0
76561197960690195,FalleN,21,unknown,0.0
76561197996678278,TeSeS,19,unknown,0.0
76561198178209109,xfl0ud,10,unknown,0.0
76561199137143905,yxngstxr,10,unknown,0.0
76561198309839541,SunPayus,23,unknown,0.0
76561197960524373,chrille,1,unknown,0.0
76561198165452027,maden,1,unknown,0.0
76561198104626893,LNZ,10,unknown,0.0
76561198966340160,Techno4K,31,unknown,0.0
76561198838822582,Mzinho,31,unknown,0.0
76561198959824088,bLitz,31,unknown,0.0
76561199203563345,910-,31,unknown,0.0
76561198920720017,Senzu,31,unknown,0.0
76561198005107817,Staehr,13,unknown,0.0
76561198120557348,jabbi,12,unknown,0.0
76561197998926770,HooXi,12,unknown,0.0
76561198022365638,stavn,2,unknown,0.0
76561197987713664,dev1ce,12,unknown,0.0
76561198064353169,slaxz-,4,unknown,0.0
76561198044045107,electroNic,2,unknown,0.0
76561198190463461,s1n,4,unknown,0.0
76561197995817501,FL1T,9,unknown,0.0
76561198055109028,ICY,9,unknown,0.0
76561198337484196,Lake,4,unknown,0.0
76561198183003671,Swisher,4,unknown,0.0
76561198334814829,reck,1,unknown,0.0
76561198014259134,FL4MUS,2,unknown,0.0
76561198080114546,fame,9,unknown,0.0
76561198063336407,Spinx,24,unknown,0.0
76561198855375325,Jimpphat,24,unknown,0.0
76561198138828475,Brollan,23,unknown,0.0
76561198193174134,xertioN,23,unknown,0.0
76561198355739212,torzsi,24,unknown,0.0
76561197973140692,mezii,27,unknown,0.0
76561198041683378,NiKo,18,unknown,0.0
76561197978835160,flameZ,28,unknown,0.0
76561197989744167,apEX,28,unknown,0.0
76561199032006224,kyousuke,18,unknown,0.0
76561197991272318,ropz,28,unknown,0.0
76561198113666193,ZywOo,28,unknown,0.0
76561198057282432,kyxsan,18,unknown,0.0
76561198377335846,snow,7,unknown,0.0
76561198216891576,dgt,7,unknown,0.0
76561198350342505,nqz,7,unknown,0.0
76561198015308884,biguzera,7,unknown,0.0
76561197983956651,Magisk,10,unknown,0.0
76561198120491311,dav1deu$,7,unknown,0.0
76561199046478501,MATYS,22,unknown,0.0
76561198150673360,siuhy,11,unknown,0.0
76561198350606449,Kursy,4,unknown,0.0
76561198108796479,Mercury,8,unknown,0.0
76561198360407641,Jee,8,unknown,0.0
76561198355197522,Moseyuh,8,unknown,0.0
76561198048266764,Attacker,8,unknown,0.0
76561198364937038,JamYoung,8,unknown,0.0
76561198850020186,latto,5,unknown,0.0
76561198100494962,saadzin,5,unknown,0.0
76561199079856901,Alkaren,9,unknown,0.0
76561198161056567,nilo,9,unknown,0.0
76561198194325317,dumau,5,unknown,0.0
76561198061763596,n1ssim,5,unknown,0.0
76561198074017668,lux,5,unknown,0.0
76561198121220486,Perfecto,7,unknown,0.0
76561199116332388,tO0RO,7,unknown,0.0
76561198179538505,Graviti,19,unknown,0.0
76561198013295375,bodyy,19,unknown,0.0
76561198168198200,Ex3rcice,19,unknown,0.0
76561198031890115,Lucky,19,unknown,0.0
76561198045739761,Maka,19,unknown,0.0
76561198164970560,yuurih,20,unknown,0.0
76561198058500492,KSCERATO,20,unknown,0.0
76561198200982290,molodoy,20,unknown,0.0
76561198880299543,Starry,4,unknown,0.0
76561198416388144,C4LLM3SU3,4,unknown,0.0
76561198107240040,westmelon,4,unknown,0.0
76561198816731401,EmiliaQAQ,4,unknown,0.0
76561198137783463,z4KR,4,unknown,0.0
76561198178737429,jcobbb,2,unknown,0.0
76561198210934463,HexT,3,unknown,0.0
76561199076189612,makazze,16,unknown,0.0
76561198083485506,woxic,14,unknown,0.0
76561198044118796,XANTARES,14,unknown,0.0
76561198812513923,Wicadia,14,unknown,0.0
76561197967432889,MAJ3R,14,unknown,0.0
76561198410750263,jottAAA,14,unknown,0.0
76561198233474320,Dawy,10,unknown,0.0
76561198316034540,nifee,10,unknown,0.0
76561198300474132,onic,10,unknown,0.0
76561198884121016,cairne,10,unknown,0.0
76561198966656353,Flierax,10,unknown,0.0
76561197991593267,sausoL,8,unknown,0.0
76561198417348056,dav1g,8,unknown,0.0
76561198370086461,MartinezSa,9,unknown,0.0
76561198000984547,alex ,8,unknown,0.0
76561197998197366,mopoz,8,unknown,0.0
76561198254686734,hypex,7,unknown,0.0
76561198153097618,mizu,11,unknown,0.0
76561198802031225,frontales,10,unknown,0.0
76561198222442504,n0rb3r7,11,unknown,0.0
76561198102158293,dukefissura,11,unknown,0.0
76561198303381179,kade0,11,unknown,0.0
76561198872013168,tN1R,13,unknown,0.0
76561198210626739,zweih,13,unknown,0.0
