match_id,round_num,player_id,player_name,team,kills,deaths,assists,damage,headshots,survived,equipment_value,cash_spent,money_start,money_end,won_round
fbafdfa1b8c597d2,5,76561198041683378,NiKo,ct,0,1,0,6,0,false,4977,26040600,3850,2950,false
fbafdfa1b8c597d2,5,76561197991272318,ropz,t,0,0,0,0,0,true,4782,53213400,5400,4200,true
fbafdfa1b8c597d2,6,76561197973140692,mezii,t,0,0,0,0,0,true,4989,11696850,4550,6600,true
fbafdfa1b8c597d2,6,76561197983956651,Magisk,ct,0,1,0,10,0,false,5268,8025900,1400,2000,false
fbafdfa1b8c597d2,6,76561198041683378,NiKo,ct,0,1,0,59,0,false,2778,18220650,2950,2000,false
fbafdfa1b8c597d2,6,76561198057282432,kyxsan,ct,1,0,0,100,1,true,3982,8243300,1400,2300,false
fbafdfa1b8c597d2,6,76561197991272318,ropz,t,1,0,0,100,0,true,5058,8312300,4200,6800,true
fbafdfa1b8c597d2,6,76561197989744167,apEX,t,0,1,0,81,0,false,5162,4754600,4250,7050,true
fbafdfa1b8c597d2,6,76561198074762801,m0NESY,ct,0,0,0,0,0,true,2657,11637900,1950,1950,false
fbafdfa1b8c597d2,6,76561198113666193,ZywOo,t,0,0,0,0,0,true,5096,6431600,4000,6600,true
fbafdfa1b8c597d2,6,76561197978835160,flameZ,t,1,0,0,100,1,true,3213,8474000,3800,6600,true
fbafdfa1b8c597d2,6,76561197996678278,TeSeS,ct,0,0,0,0,0,true,3698,11912350,2600,2650,false
fbafdfa1b8c597d2,7,76561197973140692,mezii,t,1,1,1,81,1,false,4921,3267100,6600,9650,true
fbafdfa1b8c597d2,7,76561198113666193,ZywOo,t,1,0,1,153,1,true,5014,4907800,6600,9650,true
fbafdfa1b8c597d2,7,76561197991272318,ropz,t,1,0,0,100,1,true,5056,6567300,6800,9350,true
fbafdfa1b8c597d2,7,76561198041683378,NiKo,ct,0,1,0,0,0,false,466,0,2000,4400,false
fbafdfa1b8c597d2,7,76561198057282432,kyxsan,ct,0,1,1,87,0,false,4344,1642500,2300,4400,false
fbafdfa1b8c597d2,7,76561197978835160,flameZ,t,2,1,0,200,1,false,2837,13320950,6600,8950,true
fbafdfa1b8c597d2,7,76561197996678278,TeSeS,ct,1,1,0,13,0,false,2800,1547400,2650,5350,false
fbafdfa1b8c597d2,7,76561198074762801,m0NESY,ct,1,1,0,77,1,false,3368,0,1950,4950,false
fbafdfa1b8c597d2,7,76561197989744167,apEX,t,0,0,1,0,0,true,4890,13098100,7050,8200,true
fbafdfa1b8c597d2,7,76561197983956651,Magisk,ct,0,1,0,23,0,false,2528,15400,2000,4400,false
fbafdfa1b8c597d2,8,76561198074762801,m0NESY,ct,0,1,0,0,0,false,4918,39380600,4950,3350,true
fbafdfa1b8c597d2,8,76561198113666193,ZywOo,t,0,1,0,5,0,false,5369,11983900,9650,9550,false
fbafdfa1b8c597d2,8,76561197996678278,TeSeS,ct,3,0,0,278,3,true,5173,41908800,5350,4250,true
fbafdfa1b8c597d2,8,76561197978835160,flameZ,t,0,1,0,28,0,false,4807,38452500,8950,5450,false
fbafdfa1b8c597d2,8,76561198041683378,NiKo,ct,0,0,0,0,0,true,4448,35556650,4400,3300,true
fbafdfa1b8c597d2,8,76561198057282432,kyxsan,ct,1,1,0,144,0,false,4156,32984300,4400,3600,true
fbafdfa1b8c597d2,8,76561197989744167,apEX,t,0,1,0,0,0,false,5192,3277000,8200,9200,false
fbafdfa1b8c597d2,8,76561197991272318,ropz,t,1,1,0,136,1,false,4933,5676600,9350,10350,false
