match_id,player_id,player_name,team,role,kills,deaths,assists,headshot_kills,damage,utility_damage,enemies_flashed,flash_assists,kd_ratio,kda_ratio,adr,hsp,rounds_survived,survival_rate,first_kills,first_deaths,clutches_attempted,clutches_won,multi_kill_rounds,smokes_thrown,flashes_thrown,he_thrown,molotovs_thrown,avg_cash_spent_per_round,avg_equipment_value_per_round,performance_score,won_match,kills_per_round,deaths_per_round,first_kill_rate,multi_kill_rate,smokes_per_round,flashes_per_round,utility_damage_per_round,flash_assists_per_round,clutch_success_rate,survival_rate_ratio,headshot_rate,cluster
407e672d53fe3ae0,76561199063068840,w0nderful,"Aleksib, b1t, iM, jL, w0nderful",unknown,20,17,8,14,65.2,113,3,3,1.1764706,1.6470588,65.166664,70.0,13,43.333332,1,2,3,0,4,34,26,15,32,2996.6667,4096.465,116.07833,True,0.6666666666666666,0.5666666666666667,0.03333333333333333,0.13333333333333333,1.1333333333333333,0.8666666666666667,3.7666666666666666,0.1,0.0,0.43333331999999997,0.7,1
407e672d53fe3ae0,76561198386265483,donk,"SH1R0, chopper, donk, magixx, zont1x",unknown,31,21,6,17,102.9,152,0,0,1.4761904,1.7619047,102.86667,54.83871,9,30.0,4,3,2,0,9,38,33,28,46,3316.6667,4372.344,182.30333,False,1.0333333333333334,0.7,0.13333333333333333,0.3,1.2666666666666666,1.1,5.066666666666666,0.0,0.0,0.3,0.5483871,2
407e672d53fe3ae0,76561199063238565,magixx,"SH1R0, chopper, donk, magixx, zont1x",unknown,13,19,8,8,62.6,25,0,0,0.68421054,1.1052631,62.6,61.53846,11,36.666668,2,2,1,0,2,49,24,37,40,3001.6667,4239.13,66.67,False,0.43333333333333335,0.6333333333333333,0.06666666666666667,0.06666666666666667,1.6333333333333333,0.8,0.8333333333333334,0.0,0.0,0.36666668,0.6153846000000001,0
407e672d53fe3ae0,76561198176878303,jL,"Aleksib, b1t, iM, jL, w0nderful",unknown,25,19,5,19,85.2,8,0,0,1.3157895,1.5789474,85.166664,76.0,11,36.666668,1,1,0,0,9,43,25,41,37,3456.6667,4015.8691,145.71167,True,0.8333333333333334,0.6333333333333333,0.03333333333333333,0.3,1.4333333333333333,0.8333333333333334,0.26666666666666666,0.0,0.0,0.36666668,0.76,5
407e672d53fe3ae0,76561198013243326,Aleksib,"Aleksib, b1t, iM, jL, w0nderful",unknown,17,23,6,9,67.0,74,2,2,0.73913044,1.0,67.03333,52.941177,7,23.333334,3,4,3,1,4,70,45,25,28,3131.6667,4053.6694,108.65833,True,0.5666666666666667,0.7666666666666667,0.1,0.13333333333333333,2.3333333333333335,1.5,2.466666666666667,0.06666666666666667,0.3333333333333333,0.23333334,0.5294117700000001,4
407e672d53fe3ae0,76561198081484775,SH1R0,"SH1R0, chopper, donk, magixx, zont1x",unknown,17,22,5,2,68.2,49,0,0,0.77272725,1.0,68.166664,11.764706,9,30.0,1,1,1,0,2,42,27,18,29,2946.6667,4788.358,69.168335,False,0.5483870967741935,0.7096774193548387,0.03225806451612903,0.06451612903225806,1.3548387096774193,0.8709677419354839,1.5806451612903225,0.0,0.0,0.3,0.11764706,0
407e672d53fe3ae0,76561198995880877,zont1x,"SH1R0, chopper, donk, magixx, zont1x",unknown,25,19,2,10,67.5,92,0,0,1.3157895,1.4210526,67.53333,40.0,11,36.666668,4,4,3,1,8,40,26,41,32,3243.3333,4437.0474,162.67,False,0.8333333333333334,0.6333333333333333,0.13333333333333333,0.26666666666666666,1.3333333333333333,0.8666666666666667,3.066666666666667,0.0,0.3333333333333333,0.36666668,0.4,5
087a43cf7779d8a7,76561198022365638,stavn,"Staehr, cadiaN, dev1ce, jabbi, stavn",unknown,12,13,1,6,70.0,54,0,0,0.9230769,1.0,70.0,50.0,5,27.777779,0,2,2,1,4,22,14,20,20,2755.5557,3294.504,128.76666,False,0.6666666666666666,0.7222222222222222,0.0,0.2222222222222222,1.2222222222222223,0.7777777777777778,3.0,0.0,0.5,0.27777778999999997,0.5,3
087a43cf7779d8a7,76561198005107817,Staehr,"Staehr, cadiaN, dev1ce, jabbi, stavn",unknown,10,14,8,5,66.0,40,2,2,0.71428573,1.2857143,66.0,50.0,4,22.222221,2,2,3,0,2,28,19,11,13,2661.111,3257.6697,94.03333,False,0.5555555555555556,0.7777777777777778,0.1111111111111111,0.1111111111111111,1.5555555555555556,1.0555555555555556,2.2222222222222223,0.1111111111111111,0.0,0.22222221,0.5,0
087a43cf7779d8a7,76561198995880877,zont1x,"SH1R0, chopper, donk, magixx, zont1x",unknown,11,8,3,4,73.7,139,1,1,1.375,1.75,73.72222,36.363636,10,55.555557,0,0,1,0,2,28,19,20,11,2483.3333,4039.129,113.05278,True,0.6111111111111112,0.4444444444444444,0.0,0.1111111111111111,1.5555555555555556,1.0555555555555556,7.722222222222222,0.05555555555555555,0.0,0.55555557,0.36363636,1
087a43cf7779d8a7,76561197987713664,dev1ce,"Staehr, cadiaN, dev1ce, jabbi, stavn",unknown,9,12,3,3,51.3,113,0,0,0.75,1.0,51.27778,33.333332,7,38.88889,3,2,1,0,1,24,14,8,19,2591.6667,3962.7505,72.38611,False,0.47368421052631576,0.631578947368421,0.15789473684210525,0.05263157894736842,1.263157894736842,0.7368421052631579,5.947368421052632,0.0,0.0,0.38888890000000004,0.33333332,1
087a43cf7779d8a7,76561198045898864,chopper,"SH1R0, chopper, donk, magixx, zont1x",unknown,16,10,2,12,98.3,0,0,0,1.6,1.8,98.333336,75.0,8,44.444443,2,1,0,0,3,40,18,22,24,2644.4443,3530.1023,154.80556,True,0.8888888888888888,0.5555555555555556,0.1111111111111111,0.16666666666666666,2.2222222222222223,1.0,0.0,0.0,0.0,0.44444443,0.75,5
087a43cf7779d8a7,76561198120557348,jabbi,"Staehr, cadiaN, dev1ce, jabbi, stavn",unknown,8,16,3,1,43.0,159,0,0,0.5,0.6875,43.0,12.5,2,11.111111,1,2,0,0,1,21,17,23,22,2613.889,3275.0098,28.894444,False,0.4444444444444444,0.8888888888888888,0.05555555555555555,0.05555555555555555,1.1666666666666667,0.9444444444444444,8.833333333333334,0.0,0.0,0.11111111,0.125,0
087a43cf7779d8a7,76561198004115516,cadiaN,"Staehr, cadiaN, dev1ce, jabbi, stavn",unknown,8,16,5,2,66.1,123,1,1,0.5,0.8125,66.05556,25.0,2,11.111111,1,3,1,0,2,33,26,13,14,2655.5557,3217.3142,54.425,False,0.4444444444444444,0.8888888888888888,0.05555555555555555,0.1111111111111111,1.8333333333333333,1.4444444444444444,6.833333333333333,0.05555555555555555,0.0,0.11111111,0.25,4
087a43cf7779d8a7,76561198386265483,donk,"SH1R0, chopper, donk, magixx, zont1x",unknown,18,12,1,12,93.8,92,0,0,1.5,1.5833334,93.77778,66.666664,6,33.333332,3,2,1,0,6,21,12,23,18,2544.4443,4041.3699,178.77777,True,1.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.1666666666666667,0.6666666666666666,5.111111111111111,0.0,0.0,0.33333332,0.66666664,2
087a43cf7779d8a7,76561198081484775,SH1R0,"SH1R0, chopper, donk, magixx, zont1x",unknown,13,9,2,3,74.8,48,1,1,1.4444444,1.6666666,74.833336,23.076923,9,50.0,3,2,1,0,2,21,9,15,23,2119.4443,4357.7407,133.09723,True,0.7222222222222222,0.5,0.16666666666666666,0.1111111111111111,1.1666666666666667,0.5,2.6666666666666665,0.05555555555555555,0.0,0.5,0.23076923000000002,1
087a43cf7779d8a7,76561199063238565,magixx,"SH1R0, chopper, donk, magixx, zont1x",unknown,13,10,4,8,83.2,82,0,0,1.3,1.7,83.166664,61.53846,8,44.444443,3,2,2,0,3,28,9,28,20,2544.4443,3808.9634,138.3361,True,0.7222222222222222,0.5555555555555556,0.16666666666666666,0.16666666666666666,1.5555555555555556,0.5,4.555555555555555,0.0,0.0,0.44444443,0.6153846000000001,5
79873ba32cb4f82a,76561198081484775,SH1R0,"SH1R0, chopper, donk, magixx, zont1x",unknown,13,11,0,4,65.9,78,0,0,1.1818181,1.1818181,65.85714,30.76923,11,52.38095,2,1,3,0,3,21,19,9,13,2450.0,4687.9727,104.188095,False,0.5909090909090909,0.5,0.09090909090909091,0.13636363636363635,0.9545454545454546,0.8636363636363636,3.5454545454545454,0.0,0.0,0.5238095,0.30769230000000003,1
79873ba32cb4f82a,76561198013243326,Aleksib,"Aleksib, b1t, iM, jL, w0nderful",unknown,12,15,5,3,52.3,31,1,1,0.8,1.1333333,52.333332,25.0,6,28.571428,2,3,3,0,3,29,33,12,27,2828.5715,3731.8362,85.03571,True,0.5714285714285714,0.7142857142857143,0.09523809523809523,0.14285714285714285,1.380952380952381,1.5714285714285714,1.4761904761904763,0.047619047619047616,0.0,0.28571428,0.25,4
79873ba32cb4f82a,76561198176878303,jL,"Aleksib, b1t, iM, jL, w0nderful",unknown,15,14,6,10,88.9,40,1,1,1.0714285,1.5,88.85714,66.666664,7,33.333332,2,2,1,0,4,28,20,16,20,2704.762,3942.3813,131.08095,True,0.7142857142857143,0.6666666666666666,0.09523809523809523,0.19047619047619047,1.3333333333333333,0.9523809523809523,1.9047619047619047,0.047619047619047616,0.0,0.33333332,0.66666664,5
79873ba32cb4f82a,76561198246607476,b1t,"Aleksib, b1t, iM, jL, w0nderful",unknown,16,14,7,14,87.6,136,1,1,1.1428572,1.6428572,87.61905,87.5,7,33.333332,2,1,1,0,4,29,35,9,27,2850.0,4067.1353,139.05714,True,0.7619047619047619,0.6666666666666666,0.09523809523809523,0.19047619047619047,1.380952380952381,1.6666666666666667,6.476190476190476,0.047619047619047616,0.0,0.33333332,0.875,5
